===========|==================================|============|============|======|      
  ADDRESS  | 33222222222211111111110000000000 | HEX VALUE  | DEC VALUE  | STR  |      
           | 10987654321098765432109876543210 |            |            |      |      
===========|==================================|============|============|======|      
0x3FF00000 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x3FF00004 | 00000000000000000000000000000101 | 0x00000005 | 5          |      | TEIE
0x3FF00008 | 00000000000000000000100000001111 | 0x0000080F | 2063       |    . |      
0x3FF0000C | 00000100000000000000000100000010 | 0x04000102 | 67109122   |      | SPIRDY
0x3FF00010 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x3FF00014 | 00000000000000000000000000000000 | 0x00000000 | 0          |      | CPU2X
0x3FF00018 | 11111111111111110000000011111111 | 0xFFFF00FF | 4294902015 | .. . |      
0x3FF0001C | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x3FF00020 | 00000000000000000000000000010000 | 0x00000010 | 16         |    . | SPIIR
0x3FF00024 | 00000000000000000000000000011010 | 0x0000001A | 26         |    . |      
0x3FF00028 | 00000000000000000000000000000000 | 0x00000000 | 0          |      | IOSWAP
0x3FF0002C | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x3FF00030 | 00000000000000000100000001000000 | 0x00004040 | 16448      |   @@ |      
0x3FF00034 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x3FF00038 | 00000000000000000000000001000001 | 0x00000041 | 65         |    A |      
0x3FF0003C | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x3FF00040 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x3FF00044 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x3FF00048 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x3FF0004C | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x3FF00050 | 10011101111011100000000000000000 | 0x9DEE0000 | 2649620480 | ..   | MAC0
0x3FF00054 | 00000010000000001001110011000010 | 0x02009CC2 | 33594562   |   .. | MAC1
0x3FF00058 | 00000000000000001010000000000000 | 0x0000A000 | 40960      |   .  | CHIPID
0x3FF0005C | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x3FF00060 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x3FF00064 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x3FF00068 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x3FF0006C | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x3FF00070 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x3FF00074 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x3FF00078 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x3FF0007C | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x3FF00080 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x3FF00084 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x3FF00088 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x3FF0008C | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x3FF00090 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x3FF00094 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x3FF00098 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x3FF0009C | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x3FF000A0 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x3FF000A4 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x3FF000A8 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x3FF000AC | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x3FF000B0 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x3FF000B4 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x3FF000B8 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x3FF000BC | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x3FF000C0 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x3FF000C4 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x3FF000C8 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x3FF000CC | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x3FF000D0 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x3FF000D4 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x3FF000D8 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x3FF000DC | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x3FF000E0 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x3FF000E4 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x3FF000E8 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x3FF000EC | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x3FF000F0 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x3FF000F4 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x3FF000F8 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x3FF000FC | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
===========|==================================|============|============|======|      
  ADDRESS  | 33222222222211111111110000000000 | HEX VALUE  | DEC VALUE  | STR  |      
           | 10987654321098765432109876543210 |            |            |      |      
===========|==================================|============|============|======|      
0x60000000 | 00000000000000000000000000000000 | 0x00000000 | 0          |      | U0F
0x60000004 | 00000000000000000000000010000011 | 0x00000083 | 131        |     | U0IR
0x60000008 | 00000000000000000000000000000000 | 0x00000000 | 0          |      | U0IS
0x6000000C | 00000000000000000000000000000000 | 0x00000000 | 0          |      | U0IE
0x60000010 | 00000000000000000000000000000000 | 0x00000000 | 0          |      | U0IC
0x60000014 | 00000000000000000000001010110110 | 0x000002B6 | 694        |    ¶ | U0D
0x60000018 | 00000000000000000001000000000000 | 0x00001000 | 4096       |    | U0A
0x6000001C | 00000000000000000000000000000000 | 0x00000000 | 0          |      | U0S
0x60000020 | 00000000000000000000000000001100 | 0x0000000C | 12         |  | U0C0
0x60000024 | 00000000000000000000000000000001 | 0x00000001 | 1          |      | U0C1
0x60000028 | 00000000000011111111111111111111 | 0x000FFFFF | 1048575    | ÿÿ | U0LP
0x6000002C | 00000000000011111111111111111111 | 0x000FFFFF | 1048575    | ÿÿ | U0HP
0x60000030 | 00000000000000000000000000000000 | 0x00000000 | 0          |      | U0PN
0x60000034 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x60000038 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x6000003C | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x60000040 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x60000044 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x60000048 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x6000004C | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x60000050 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x60000054 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x60000058 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x6000005C | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x60000060 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x60000064 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x60000068 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x6000006C | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x60000070 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x60000074 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x60000078 | 00000000000001100010000000000000 | 0x00062000 | 401408     |      | U0DT
0x6000007C | 00000000000000000000010100000000 | 0x00000500 | 1280       |      | U0ID
0x60000080 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x60000084 | 00000000000000000000000010000011 | 0x00000083 | 131        |     |      
0x60000088 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x6000008C | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x60000090 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x60000094 | 00000000000000000000001010110110 | 0x000002B6 | 694        |    ¶ |      
0x60000098 | 00000000000000000001000000000000 | 0x00001000 | 4096       |    |      
0x6000009C | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600000A0 | 00000000000000000000000000001100 | 0x0000000C | 12         |  |      
0x600000A4 | 00000000000000000000000000000001 | 0x00000001 | 1          |      |      
0x600000A8 | 00000000000011111111111111111111 | 0x000FFFFF | 1048575    | ÿÿ |      
0x600000AC | 00000000000011111111111111111111 | 0x000FFFFF | 1048575    | ÿÿ |      
0x600000B0 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600000B4 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600000B8 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600000BC | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600000C0 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600000C4 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600000C8 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600000CC | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600000D0 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600000D4 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600000D8 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600000DC | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600000E0 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600000E4 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600000E8 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600000EC | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600000F0 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600000F4 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600000F8 | 00000000000001100010000000000000 | 0x00062000 | 401408     |      |      
0x600000FC | 00000000000000000000010100000000 | 0x00000500 | 1280       |      |      
===========|==================================|============|============|======|      
  ADDRESS  | 33222222222211111111110000000000 | HEX VALUE  | DEC VALUE  | STR  |      
           | 10987654321098765432109876543210 |            |            |      |      
===========|==================================|============|============|======|      
0x60000100 | 00000000000000000000000000000000 | 0x00000000 | 0          |      | SPI1CMD
0x60000104 | 00000000000000000000000000000000 | 0x00000000 | 0          |      | SPI1A
0x60000108 | 00000000001010001011001100010011 | 0x0028B313 | 2667283    | (³ | SPI1C
0x6000010C | 01011111111111110000000100100000 | 0x5FFF0120 | 1610547488 | _ÿ   | SPI1C1
0x60000110 | 00000000000000000000000000000000 | 0x00000000 | 0          |      | SPI1RS
0x60000114 | 00000000000000000000000000010001 | 0x00000011 | 17         |    | SPI1C2
0x60000118 | 10000000000000000011000001000011 | 0x80003043 | 2147496003 |  0C | SPI1CLK
0x6000011C | 10000000000000000000000001000100 | 0x80000044 | 2147483716 |   D | SPI1U
0x60000120 | 01011100000000000000000000000000 | 0x5C000000 | 1543503872 | \    | SPI1U1
0x60000124 | 01110000000000000000000000000000 | 0x70000000 | 1879048192 | p    | SPI1U2
0x60000128 | 00000000000000000000000000000000 | 0x00000000 | 0          |      | SPI1WS
0x6000012C | 00000000000000000000000000011110 | 0x0000001E | 30         |  | SPI1P
0x60000130 | 00000000000000000000001000000000 | 0x00000200 | 512        |      | SPI1S
0x60000134 | 00000010000000000000000000000000 | 0x02000000 | 33554432   |      | SPI1S1
0x60000138 | 00000000000000000000000000000000 | 0x00000000 | 0          |      | SPI1S2
0x6000013C | 00000000000000000000000000000000 | 0x00000000 | 0          |      | SPI1S3
0x60000140 | 01101010001111111010001001011011 | 0x6A3FA25B | 1782555227 | j?¢[ | SPI1W0
0x60000144 | 00000101110010001000000100001111 | 0x05C8810F | 97026319   | È | SPI1W1
0x60000148 | 00101110010111101110011010111001 | 0x2E5EE6B9 | 777971385  | .^æ¹ | SPI1W2
0x6000014C | 00100100010001111000101001001000 | 0x24478A48 | 608668232  | $GH | SPI1W3
0x60000150 | 11010110111000010101011101011101 | 0xD6E1575D | 3605092189 | ÖáW] | SPI1W4
0x60000154 | 00100001101000011010111001101110 | 0x21A1AE6E | 564244078  | !¡®n | SPI1W5
0x60000158 | 11100000011011000011001001000101 | 0xE06C3245 | 3765187141 | àl2E | SPI1W6
0x6000015C | 01011110010010001101001101000010 | 0x5E48D342 | 1581830978 | ^HÓB | SPI1W7
0x60000160 | 00010110010011011011100000010011 | 0x164DB813 | 374192147  |M¸| SPI1W8
0x60000164 | 10010111000011100111110110010001 | 0x970E7D91 | 2534309265 |} | SPI1W9
0x60000168 | 00100110001110000011101110000110 | 0x26383B86 | 641219462  | &8; | SPI1W10
0x6000016C | 10000101010100110010111100101111 | 0x85532F2F | 2236821295 | S// | SPI1W11
0x60000170 | 01001000001110011101010101101011 | 0x4839D56B | 1211749739 | H9Õk | SPI1W12
0x60000174 | 01000001101010100100000000111010 | 0x41AA403A | 1101676602 | Aª@  | SPI1W13
0x60000178 | 00000111100100000010111011011011 | 0x07902EDB | 126889691  |  .Û | SPI1W14
0x6000017C | 01000100001110001011100011111111 | 0x4438B8FF | 1144568063 | D8¸ÿ | SPI1W15
0x60000180 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x60000184 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x60000188 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x6000018C | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x60000190 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x60000194 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x60000198 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x6000019C | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600001A0 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600001A4 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600001A8 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600001AC | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600001B0 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600001B4 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600001B8 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600001BC | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600001C0 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600001C4 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600001C8 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600001CC | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600001D0 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600001D4 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600001D8 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600001DC | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600001E0 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600001E4 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600001E8 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600001EC | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600001F0 | 10000000000010100000000001010000 | 0x800A0050 | 2148139088 |   P | SPI1E0
0x600001F4 | 10000000000011110000001001011000 | 0x800F0258 | 2148467288 | X | SPI1E1
0x600001F8 | 00000000000000000000000000000000 | 0x00000000 | 0          |      | SPI1E2
0x600001FC | 00000000000000000000000000000000 | 0x00000000 | 0          |      | SPI1E3
===========|==================================|============|============|======|      
  ADDRESS  | 33222222222211111111110000000000 | HEX VALUE  | DEC VALUE  | STR  |      
           | 10987654321098765432109876543210 |            |            |      |      
===========|==================================|============|============|======|      
0x60000200 | 00000000000000000000000000000000 | 0x00000000 | 0          |      | SPI0CMD
0x60000204 | 00100000000001111100000001100000 | 0x2007C060 | 537378912  |   À` | SPI0A
0x60000208 | 00000001011010101010000100000001 | 0x016AA101 | 23765249   |  j¡  | SPI0C
0x6000020C | 01011111111111110000000100100000 | 0x5FFF0120 | 1610547488 | _ÿ   | SPI0C1
0x60000210 | 00000000000000000000000000000000 | 0x00000000 | 0          |      | SPI0RS
0x60000214 | 00000000000000000000000000010001 | 0x00000011 | 17         |    | SPI0C2
0x60000218 | 00000000000000000001000000000001 | 0x00001001 | 4097       |    | SPI0CLK
0x6000021C | 10000000000000000000000001100100 | 0x80000064 | 2147483748 |   d | SPI0U
0x60000220 | 01011101111111101111111100011111 | 0x5DFEFF1F | 1576992543 |]þÿ| SPI0U1
0x60000224 | 01110000000000000000000000000000 | 0x70000000 | 1879048192 | p    | SPI0U2
0x60000228 | 00000000000000000000000000000000 | 0x00000000 | 0          |      | SPI0WS
0x6000022C | 00000000000000000000000000011110 | 0x0000001E | 30         |  | SPI0P
0x60000230 | 00000100100000000000001000010000 | 0x04800210 | 75498000   |   | SPI0S
0x60000234 | 00000010000000000000000000000000 | 0x02000000 | 33554432   |      | SPI0S1
0x60000238 | 00000000000000000000000000000000 | 0x00000000 | 0          |      | SPI0S2
0x6000023C | 00000000000000000000000000000000 | 0x00000000 | 0          |      | SPI0S3
0x60000240 | 11111111111111111111111111111111 | 0xFFFFFFFF | 4294967295 | ÿÿÿÿ | SPI0W0
0x60000244 | 11111111111111111111111111111111 | 0xFFFFFFFF | 4294967295 | ÿÿÿÿ | SPI0W1
0x60000248 | 11111111111111111111111111111111 | 0xFFFFFFFF | 4294967295 | ÿÿÿÿ | SPI0W2
0x6000024C | 11111111111111111111111111111111 | 0xFFFFFFFF | 4294967295 | ÿÿÿÿ | SPI0W3
0x60000250 | 11111111111111111111111111111111 | 0xFFFFFFFF | 4294967295 | ÿÿÿÿ | SPI0W4
0x60000254 | 11111111111111111111111111111111 | 0xFFFFFFFF | 4294967295 | ÿÿÿÿ | SPI0W5
0x60000258 | 11111111111111111111111111111111 | 0xFFFFFFFF | 4294967295 | ÿÿÿÿ | SPI0W6
0x6000025C | 11111111111111111111111111111111 | 0xFFFFFFFF | 4294967295 | ÿÿÿÿ | SPI0W7
0x60000260 | 11011100111001011110100111110011 | 0xDCE5E9F3 | 3706055155 | Üåéó | SPI0W8
